,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,A Ukrainian-Russian developer says he hired the former New York mayor Rudolph W. Giuliani to lobby. Mr. Giuliani says he never lobbied the U.S. government.,"WASHINGTON — More than two years ago, Pavel Fuks, a wealthy Ukrainian-Russian developer looking for ways to attract more investment from the United States to his hometown, Kharkiv, Ukraine, enlisted an especially well-connected American to help him: Rudolph W. Giuliani.",Ukraine Role Focuses New Attention on Giuliani’s Foreign Work,"United States International Relations;United States Politics and Government;Lobbying and Lobbyists;Giuliani, Rudolph W;Trump, Donald J;Zelensky, Volodymyr;Poroshenko, Petro Olekseyevich;Kharkiv (Ukraine)",2019-07-01,article,U.S.,News
0,"An outpouring of celebration, and a demand for change, 50 years after Stonewall.","Parades to celebrate gay pride were held around the world this weekend, commemorating the 50th anniversary of the Stonewall uprising in New York.","A Global Gay Pride Weekend, in Photos","Homosexuality and Bisexuality;Parades;Demonstrations, Protests and Riots",2019-07-01,article,World,News
0,"The idea taking shape inside the Trump administration would amount to negotiating a nuclear freeze that essentially enshrines the status quo, tacitly accepting the North as a nuclear power.","SEOUL, South Korea — From a seemingly fanciful tweet to a historic step into North Korean territory, President Trump’s largely improvised third meeting on Sunday with Kim Jong-un, the North Korean leader, was a masterpiece of drama, the kind of made-for-TV spectacle that Mr. Trump treasures.","In New Talks, U.S. May Settle for a Nuclear Freeze by North Korea","North Korea;Trump, Donald J;Kim Jong-un;ARMS CONTROL AND LIMITATION AND DISARMAMENT;United States International Relations;Nuclear Weapons;United States",2019-07-01,article,World,News Analysis
0,"The turboprop airplane crashed into a hangar at Addison Airport, killing eight passengers and two crew members.","Ten people were killed when an airplane crashed and burst into flames shortly after taking off from an airport in Addison, Tex., local officials said.",Fiery Plane Crash Kills 10 People in Texas,"Aviation Accidents, Safety and Disasters;AIRLINES AND AIRPLANES;Deaths (Fatalities);AIRPORTS;Texas",2019-07-01,article,U.S.,News
0,Fellow Berkeley public school students remember the early days of the integration effort: “We were all just kids trying to figure it out on our own.”,"BERKELEY, Calif. — In 1967, the superintendent of the Berkeley, Calif., school district had resolved to desegregate the city schools. “We will set an example for all the cities of America,” he wrote in a report called “Integration: A Plan for Berkeley,” which he presented to the Berkeley Board of Education. “The children of Berkeley will grow in a community where justice is part of their pattern of life,” the report stated.",Kamala Harris and Classmates Were Bused Across Berkeley. The Experience Changed Them.,"Segregation and Desegregation;Race and Ethnicity;Harris, Kamala D;Berkeley (Calif);Blacks;Black People;Presidential Election of 2020",2019-07-01,article,U.S.,News
0,"As summer heats up, here are some ways to keep cool at home.","Welcome to the Smarter Living newsletter! Every Monday, we email readers with tips and advice for living a better, more fulfilling life. Sign up here to get it in your inbox.",5 Cheap(ish) Things to Keep Your Bedroom Cool,,2019-07-01,article,Smarter Living,News
0,"Quotation of the Day for Monday, July 1, 2019.","“There is much to celebrate today, and still so much to fight for.”","Quotation of the Day: A Prism of Pride and Revelry, Born 50 Years Ago",,2019-07-01,article,Today’s Paper,Quote
0,"No corrections appeared in print on Monday, July 1, 2019.","No corrections appeared in print on Monday, July 1, 2019.","Corrections: July 1, 2019",,2019-07-01,article,Corrections,News
0,"A resumption of negotiations between Washington and Beijing lifted markets. Still, many doubt the two sides can reach a deal anytime soon.","Shares in technology companies led Wall Street stocks higher on Monday, with global investors buoyed by a thaw in the trade dispute between the United States and China even as prospects for a long-term deal remained uncertain.","S&P and Dow Follow Global Markets Higher, as Investors Take Heart in Trade Thaw",International Trade and World Market;Economic Conditions and Trends;Stocks and Bonds;China;Gold;United States Politics and Government;Group of Twenty,2019-07-01,article,Business Day,News
0,Mr. Trump became the first sitting American commander in chief to set foot in the reclusive country.,Good Monday morning. Here are some of the stories making news in Washington and politics today.,On Politics: Trump Visits North Korea,"United States Politics and Government;Trump, Donald J;Korean Demilitarized Zone",2019-07-01,article,U.S.,News
0,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),"North Korea, Hong Kong, Gay Pride: Your Monday Briefing",,2019-07-01,article,Briefing,briefing
0,"Novak Djokovic, Naomi Osaka and Venus Williams are among those in action on the first day of the tournament.","Djokovic, the defending men’s singles champion, will open play on Centre Court at 8 a.m. Eastern. Djokovic, the No. 1 seed, has won 10 of his 12 previous matches against Kohlschreiber, a 35-year-old German. But Kohlschreiber beat Djokovic at the Indian Wells tournament this year. If Kohlschreiber can use his varied shot selection to find Djokovic’s weaknesses early in the match, he may have a chance before Djokovic’s physical stamina can overwhelm him in the best-of-five-set format.",What to Watch Monday at Wimbledon,"Tennis;Wimbledon Tennis Tournament;Auger-Aliassime, Felix (2000- );Anderson, Kevin (1986- );Gauff, Cori (2004- );Herbert, Pierre-Hugues (1991- );Kohlschreiber, Philipp;Osaka, Naomi (1997- );Pospisil, Vasek;Putintseva, Yulia (1995- );Williams, Venus",2019-07-01,article,Sports,News
0,Is it still pretending if everyone can see through it?,"Good therapists (does Dr. Reisman still count?) will sometimes tell you that the reason we all fall into patterns, making the same mistakes over and over, is because the pain we’ve experienced in the past drives us to recreate the situation that caused it — so we can fix it. The subconscious wants a do over. It’s why we “marry” our fathers and mothers. It’s why we become them, and then realize we’re becoming them, and then fight so hard against becoming them.","‘Big Little Lies’ Season 2, Episode 4 Recap: Unhinged",Television;Big Little Lies (TV Program);Home Box Office,2019-07-01,article,Arts,Review
