,Unnamed: 0,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,format_date,result,max_similarity,NYT_headline
24,20,7319299412516178944,2024-01-01T20:00:21,9.0,US,"mirandahshaul, miranda marie, igmirandahhmarie",422200.0,7392.0,2124.0,3500000.0,#igmirandahhmarie ,False,,mirandahshaul,Mimi,,,,,,False,2024-01-01,"(array([0.16757624], dtype=float32), 'Police Officers Are Charged With Crimes, but Are Juries Convicting?')",0.1675762385129928,"Police Officers Are Charged With Crimes, but Are Juries Convicting?"
3,2386,7315613296751627264,2023-12-22T21:35:55,60.0,BR,"tyla, truth or dare tyla, tyla edit, truth or dare, tyla truth or dare song, water by tyla, tyla water edit, Water Song by Tyla, i'm sorry but i have to ask you truth or dare, Water (Mixed) Song By Tyla",86900.0,251.0,257.0,771500.0,tyla nos ensaios para sua apresentação na final do The voice 🤍✨️🐅 #tyla #Truthordare #waterchallangetyla #Tyla #TylaSeethal ,False,,infotylabrasil,Info Tyla Brasil🐅,,,,,,False,2023-12-22,"(array([0.23881835], dtype=float32), 'Essra Mohawk, Self-Described Flower Child Singer-Songwriter, Dies at 75')",0.238818347454071,"Essra Mohawk, Self-Described Flower Child Singer-Songwriter, Dies at 75"
0,0,7315561816673750016,2023-12-22T18:16:20,18.0,US,"flipnote, flipnote animation, asdf movie, flipnote animation horror, flipnotes nintendo dsi, flipnote in 2023, flip note animation tutorial, animation, flipnote animation old, ds flip notes",3600000.0,40100.0,11000.0,19000000.0,Bonus flipnote for you,False,,zanelittlemusic,Zane Little,,,,,,False,2023-12-22,"(array([0.17198673], dtype=float32), 'Watch an Unusual Family Reunion in ‘All of Us Strangers’')",0.1719867289066314,Watch an Unusual Family Reunion in ‘All of Us Strangers’
27,1206,7331594280768719872,2024-02-03T23:10:55,167.0,US,"brunchaholic dallas, keith lee, michelle miller keith lee, brunchaholics, keith lee 10 out of 10, brunchaholics keith lee, michelle miller cbs, brunchaholic dallas after keith lee, keith lee effect, keith lee wife",638800.0,8769.0,5738.0,6500000.0,#stitch with @brunchaholics_  Brunchaholics taste test 💕 would you try it ? #foodcritic ,False,,keith_lee125,Keith Lee,,,,,,True,2024-02-03,"(array([0.3084061], dtype=float32), 'Fox News Suddenly Wants Celebrities Out of Politics. Well, One Celebrity.')",0.308406114578247,"Fox News Suddenly Wants Celebrities Out of Politics. Well, One Celebrity."
11,7070,7315555399317490688,2023-12-22T17:51:23,8.0,US,"Anitta, peso pluma and nicki nicole, peso pluma perform with nicole, peao pulma anitta, Karol G Peso Pluma, peso pluma edits, how peso should have reacted, peso pluma crying, peso pluma concert, Reacting To Peso Pluma",529500.0,1816.0,890.0,5200000.0,He would’ve cheated for sure😭 #fyp #foryou #mexican #viral #girlfriend #toxica #crush ,False,,andrew_trs,Andrew,,,,,,False,2023-12-22,"(array([0.21075633], dtype=float32), 'F.D.A. Seizes Thousands of Units of Counterfeit Ozempic')",0.2107563316822052,F.D.A. Seizes Thousands of Units of Counterfeit Ozempic
26,1189,7331442296661183488,2024-02-03T13:21:03,89.0,US,"colleges worth the tuition, colleges that are worth the tuition, college, Georgia Tech, Georgia Tech University, ut austin, Purdue, College University, science, Best Colleges",9773.0,193.0,343.0,313100.0,Top Colleges for computer science that are worth the tuition . . . . . .  . . . . . . #collegeadmissions #topcolleges #stem #stemcolleges #uuic #georgiatech ,False,,tineocollegeprep,Brandon (@tineocollegeprep),,,,,,False,2024-02-03,"(array([0.33690146], dtype=float32), 'A Forgotten Championship H.B.C.U. Team Comes Off the Sidelines')",0.33690145611763,A Forgotten Championship H.B.C.U. Team Comes Off the Sidelines
18,151,7331508473739414528,2024-02-03T17:37:44,5.0,US,"server job, server, Working As A Server, What I Make As A Server, Server Life In Restaurant, Server Life, Server Restaurant Tips, Giving Parents Money, Moderator Job, server stories",753100.0,599.0,1600.0,5100000.0,Serving money: >>>> Serving: 😭😭😭😭,False,,shordyalilbaddie2,Arri ;P,,,,,,False,2024-02-03,"(array([0.20367345], dtype=float32), 'Our Five-Star French Onion Soup Is Worth the Tears')",0.2036734521389007,Our Five-Star French Onion Soup Is Worth the Tears
28,1220,7331459668968999936,2024-02-03T14:28:23,67.0,US,"dating a broke guy, jennifer broke boyfriend original video, dating a broke guy stitch, dating a broke woman, dating, jennifer dating a broke guy, boyfriend breaks promise to propose, broke boyfriend jennifer, jennifer broke guy, dating a broke guy stitch jennifer",425200.0,6129.0,8158.0,3600000.0,He realy dont like her. Just my POV #viral #viral #fyp ,False,,jeffmorrow4,Jefe,,,,,,False,2024-02-03,"(array([0.2836072], dtype=float32), '‘My Heart Sank’: In Maine, a Challenge to a Book, and to a Town’s Self-Image')",0.2836072146892547,"‘My Heart Sank’: In Maine, a Challenge to a Book, and to a Town’s Self-Image"
7,5583,7315290149829610496,2023-12-22T00:42:04,13.0,US,"business, Hijab, Hijab TikTok, Hijab Fashion Outfits, hijab style, Modest Fashion Hijab, Colorful Hijab, Chiffon Hijab, Hijab Behind Ears, palestine hoodie",127800.0,2111.0,471.0,448500.0,Our company is trying to rainsimg awareness for our people back home and gour support is very much appreciated! ❤️🇵🇸 #fashion #hijab #ootd #hijabitiktok ,False,,palestinian.elegance,PaliTokShop,,,,,,False,2023-12-22,"(array([0.25869814], dtype=float32), '‘Maestro’ Won’t Let Leonard Bernstein Fail')",0.2586981356143951,‘Maestro’ Won’t Let Leonard Bernstein Fail
2,1873,7315547460997368832,2023-12-22T17:20:33,13.0,ES,"maniac viviz tutorial, umji before and after, maniac viviz dance, viviz members, Umji South Korean Singer, kpop, kpop fyp",304200.0,2486.0,713.0,2600000.0,"she knows she eats this move every time, no one can do it like her #umji #viviz #maniac #vivizmaniac #KPop #students #kpopfyp #fy #fyp #2eunbis ",False,,2eunbis,elle,,,,,,False,2023-12-22,"(array([0.3278413], dtype=float32), 'North Korea’s New Reactor Raises Fears of Increased Plutonium Production')",0.3278413116931915,North Korea’s New Reactor Raises Fears of Increased Plutonium Production
8,5619,7315444615585319936,2023-12-22T10:41:38,18.0,US,"jake webber, johnnie and jake, johnnie guilbert, Jake And Tara, jake webber and tara, jake webber before emo, johnnie and jake funny moments, jake webber edit, johnnie guilbert edit, jake webber johnnie guilbert",696400.0,15700.0,3422.0,4200000.0,My other vid got taken down 😭 also sorry i havent been posting school been killin me 💀 #jakewebber #fyp #foryoupage #jakewebberfunnymoments #jakewebberyoutube #johnnieguilbert #johnnieguilbertfunnymoments #johnnieguilburtyoutube #friends  ,False,,johnnie.and.jake,Johnnie and jake fanpage,,,,,,False,2023-12-22,"(array([0.37013578], dtype=float32), 'The Lives They Lived')",0.3701357841491699,The Lives They Lived
10,8,7311859359896620032,2023-12-12T18:48:48,16.0,US,"cfn cabbage, Laffy Taffy, cfn kasai, bigcabbage56, cfn cabbage travis hunter, using car window as mirror, mirror car, mirrors, Interior Mirrors, big laffy taffy",971800.0,10600.0,4268.0,5300000.0,Im just trying to see if my  face clean😂 #fyp #xybca #cfn #mammoo #thatoneperson ,False,,bigcabbage56,CFN Cabbage,,,,,,False,2023-12-12,"(array([0.20324288], dtype=float32), 'Branden Jacobs-Jenkins Revisits His ‘Illusion of Suffering’ on Broadway')",0.2032428830862045,Branden Jacobs-Jenkins Revisits His ‘Illusion of Suffering’ on Broadway
17,121,7331310594534001664,2024-02-03T04:49:35,75.0,GB,"kylie jenner, Kendall Jenner, what kylie would have looked like, king kylie, kendall before and after, kylie jenner teeth, kylie and timothee, kendall jenner evolution, kylie, Kylie Face",246000.0,698.0,2048.0,9200000.0,Whet do you think of the evolution of #kyliejenner #youngtooldtransformation #fillers #botox #transformacion #usa #uk #japan #viralvideo #fypシ ,False,,sairashairyworld,Sairashairyworld,,,,,,False,2024-02-03,"(array([0.25028488], dtype=float32), 'A Debut Novel About the Beautiful Chaos of Modern Young Adulthood')",0.250284880399704,A Debut Novel About the Beautiful Chaos of Modern Young Adulthood
29,1234,7331488716294294528,2024-02-03T16:21:10,64.0,US,"Cutting Clients Hair, Barber Videos, Barber Tiktok Videos, Satisfying Haircuts, Barber Shop Videos, Barber Hair Cutting Videos, Barbershop, TikTok Barber, Getting A Haircut, Los Angeles Barber",56400.0,128.0,211.0,2100000.0,Part1. He’s been feeling like he’s girlfriend isn’t attracted to him anymore  - #Barbertok #barber #oddlysatisfying #katybarber #besthoustonbarber #losangelesbarber #labarber #miamibarber #houstonbarber #katytx #cypressbarber #dallasbarbers ,False,,kzfadez,Kzfadez,,,,,,False,2024-02-03,"(array([0.19921717], dtype=float32), 'Wayne Kramer, Guitarist With the Incendiary MC5, Is Dead at 75')",0.1992171704769134,"Wayne Kramer, Guitarist With the Incendiary MC5, Is Dead at 75"
6,5474,7315594715955612672,2023-12-22T20:24:04,39.0,US,"Monopoly Go!, monopoly go addict, Monopoly Go Game, Monopoly: The Card Game, card games, Playing Monopoly Board Games, Addicting Game, Dice In Monopoly Go, Go Board Game, Vintage Monopoly Game",124200.0,13800.0,3219.0,978000.0,Monopoly Go has me in a chokehold #monopoly #monopolygo #monopolystickers #addicted ,False,,rehanashaus,Rehana💋,,,,,,False,2023-12-22,"(array([0.24069099], dtype=float32), 'The Spellbinding Freedom of Baldur’s Gate 3')",0.240690991282463,The Spellbinding Freedom of Baldur’s Gate 3
20,17,7310081502975364096,2023-12-07T23:49:44,11.0,AU,"larissatrofino26, Viral Sounds, sounds on trending, trending sounds on tiktok now, Vibrations Sound, Boom Sound",39000.0,103.0,206.0,253900.0,This sound 😮‍💨 #fyp#foryou#viral ,False,,larissatrofino26,Larissa Trofino 💋,,,,,,False,2023-12-07,"(array([0.24915828], dtype=float32), 'How Converting N.Y.C. Office Buildings to Homes Can Help the Environment')",0.2491582781076431,How Converting N.Y.C. Office Buildings to Homes Can Help the Environment
30,1237,7331472586938846208,2024-02-03T15:18:07,0.0,GB,"Brazil, Egypt, Beauty Standard In Philippines, slavic beauty standard, slavic country beauty standards, slavic beauty, slavic women standards, china, Turkey Country, arabian beauty",696600.0,1347.0,4335.0,7100000.0,#countries #beautystandards #fyp #viral #foryoupage #korea #china #slavic #nigeria #latina #europe #arab #brazil #russia #frenchgirl #france #turkey #looks #beauty #egypt #somali #bangladesh #asian #southasian #romania #balkan #albania #bodytypes ,False,,bl4ckca7girly,Bl4ckca7girly,,,,,,False,2024-02-03,"(array([0.19227983], dtype=float32), 'How a Law School Student at N.Y.U. Spends Her Sundays')",0.1922798305749893,How a Law School Student at N.Y.U. Spends Her Sundays
16,12,7325112446040017920,2024-01-17T11:57:40,24.0,US,"Euphoria Scenes, i promise maddy i'll change, Maddy Euphoria, coffee co bendigo, Euphoria, Cassie And Nate, euphoria dialogue, euphoria iconic lines, Maddy And Nate, maddy perez",179500.0,694.0,224.0,1500000.0,euphoria szn 2 feels like it was just yesterday 🥲 #euphoria ,False,,mikaelarellano,Mikael Arellano,,,,,,False,2024-01-17,"(array([0.26802966], dtype=float32), 'Sarah Stackhouse, Star Interpreter of José Limón, Dies at 87')",0.2680296599864959,"Sarah Stackhouse, Star Interpreter of José Limón, Dies at 87"
21,23,7310000101747936256,2023-12-07T18:33:58,9.0,US,"remote controlled in public girlfriend prank, remote controlled in public, remote controlled in public girlfriend, what is it finna play .. woahhhh, keeping date nights interesting, remote controlled in public girlfriend prank date, remote controlled in public girlfriend date, remote controlled underwater, finna play, what's it finna play",2500000.0,133200.0,22400.0,19400000.0,glad i “came” on this date 👀,False,,krissymfkummins,Krissy Kummins,,,,,,False,2023-12-07,"(array([0.27985957], dtype=float32), 'Man Is Arrested After Firing Gun Near Albany Synagogue')",0.2798595726490021,Man Is Arrested After Firing Gun Near Albany Synagogue
23,1109,7331480919246785536,2024-02-03T15:51:06,8.0,US,"grammys 2024, grammy, the grammys, taylor swift grammys, the grammys 2024, Averyywoods, taylor swift grammys 2024, grammy nominations 2024, taylor grammys 2024, travis kelce taylor swift",109400.0,153.0,256.0,1000000.0,IDK WHY WE WERE INVITED BUT BE PREPARED TO BE SICK OF US‼️🎉🍾 #fyp #viral #bffs #bestfriend #bestfriends #besties #bffgoals #funny #ditl #airport #travel #grammys #trending #friend #friends #friendhumor ,False,,averyywoods,Avery Woods,,,,,,False,2024-02-03,"(array([0.36066222], dtype=float32), 'Fox News Suddenly Wants Celebrities Out of Politics. Well, One Celebrity.')",0.3606622219085693,"Fox News Suddenly Wants Celebrities Out of Politics. Well, One Celebrity."
14,1,7331462048699649024,2024-02-03T14:37:35,8.0,US,"lucid dreams, i still see your shadows, Hey There Delilah, lucid dreams juice wrld, i still see your shadows in my room, juice wrld, Lucid Dreams Lyrics, Juice WRLD Songs, i still see a shadow in my room, hey there delilah juice wrld",1111.0,1.0,2.0,6589.0,☁️📙,False,,createbyua,ua,,,,,,False,2024-02-03,"(array([0.21234407], dtype=float32), 'Punch Lines')",0.2123440653085708,Punch Lines
1,1564,7315506437105388544,2023-12-22T14:41:24,26.0,US,"rachel martino, cleaning, Cleaning Tiktok, Clean Tok, cleaning house, Cleaning The House, Cleaning Routines, clean with me, cleaning room, Clean My House With Me",29000.0,278.0,0.0,51400000.0,"Can y’all believe we are coming up on the 2 year anniversary of the Dream Loft Studios in Brooklyn? 💖 I love this space so much, so as we’ve learned what does and doesn’t work for us and our clients, I wanted to break out #TheGoodStuff and give our cleaning routine a big upgrade with #Windex, #ScrubbingBubbles, and #Pledge for the new year! ✨ #ad #cleantok #cleanwithme ",True,,rachmartino,Rachel Martino,,,,,,True,2023-12-22,"(array([0.20254266], dtype=float32), 'A Lucrative Tax Credit for Making Clean Fuel Won’t Be So Easy to Get')",0.2025426626205444,A Lucrative Tax Credit for Making Clean Fuel Won’t Be So Easy to Get
9,6764,7315423548485405696,2023-12-22T09:19:40,19.0,GB,"Ranbir Kapoor, Animal, Animal Videos, Funny Animal, Hilarious Funny Animal Videos, bobby deol dance",34300.0,464.0,299.0,292900.0,☕️ (T)ea 🤝🏾 (Kav)ffee Part 3 ☕️ #fyp #tamil #viral #trending #natpethunai #vpvs #dance #trend #animal #ranbirkapoor ,False,,t.__18,T₁₈,,,,,,False,2023-12-22,"(array([0.29974267], dtype=float32), 'The Very Personal Collections That 7 Artists Left Behind')",0.2997426688671112,The Very Personal Collections That 7 Artists Left Behind
19,309,7331429091574516736,2024-02-03T12:29:55,14.0,US,,113100.0,1180.0,1227.0,643500.0,I dont even mean its bad its just so jarring like whoa… ,False,,uglysagittarius1,ty 🎞️,,,,,,False,2024-02-03,"(array([0.21234407], dtype=float32), 'Punch Lines')",0.2123440653085708,Punch Lines
