,Unnamed: 0,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,format_date,result,max_similarity,NYT_headline
0,0.0,7343758155492642053,2024-03-07T17:52:23,185.0,RW,,32.0,0.0,0.0,387.0,AMASHUSHO: I Berlin mu Budage hashojwe Imurika mpuzamahanga ry’ubukerarugendo ITB 2024 ryitabiriwe n’ibigo 21 byaturutse mu Rwanda.,False,,igihe,IGIHE,,,,,,False,2024-03-07,"(array([0.15572126], dtype=float32), 'Moms Marketing Their Daughters on Social Media')",0.1557212620973587,Moms Marketing Their Daughters on Social Media
1,1.0,7338082342872861970,2024-02-21T14:35:00,34.0,QA,,26300.0,1383.0,433.0,1000000.0,“بنتي أكلت إيديها من قلة الأكل” تحدثت هذه السيدة الفلسطينية عن سوء الأوضاع المعيشية جراء الحرب الإسرائيلية على قطاع غزة. #فيديو #أم #بنت #حرب_غزة #سيدة #غزة  #شمال_غزة,False,,aljazeera,الجزيرة,,,,,,True,2024-02-21,"(array([0.15572126], dtype=float32), 'Rethinking How We Fund the Arts in America')",0.1557212620973587,Rethinking How We Fund the Arts in America
2,28.0,7338069156064988458,2024-02-21T09:57:03,36.0,US,"Car Air Freshener, Car Freshener, Car Freshener Scent, Car Products, Car Scents, Stuff For Car, Car Gadget, Car Refresher Perfume, Car Fragrance, Car Care",33300.0,3107.0,148.0,2100000.0,"If you often smoke in the car, you really need this car air fresheners#airfreshener #carfreshener #smellgood #scent  #fyp#tiktokshopusa #car #foryou ",True,,chidsj,Decsteamboy us,,,,,,False,2024-02-21,"(array([0.20722696], dtype=float32), 'Renting a Car Abroad: Don’t Get Taken for a Ride')",0.20722696185112,Renting a Car Abroad: Don’t Get Taken for a Ride
3,2.0,7322961317084663082,2024-01-11T16:50:11,70.0,US,"jayllnn, buldak ramen noodles, noodles, realjayllnn kiss, ramen noodles, buldak noodles, jayllnn kiss, spicy noodles, Food Videos, Cooking Noodles",698300.0,6955.0,6421.0,20100000.0,#noodles ,False,,realjayllnn,JAYLLNN,,,,,,True,2024-01-11,"(array([0.30696926], dtype=float32), 'Are You a Meatball Fanatic? Here’s Where to Go.')",0.3069692552089691,Are You a Meatball Fanatic? Here’s Where to Go.
4,14.0,7322938185699413291,2024-01-11T15:20:31,32.0,US,"stroke encouragement, sophiie.xdt02, red lights green light stroke game, red lights green light stroke, stroke for me, stroke encouragement up down, encouragement, green light red lights, joii, red and green light makeup",79400.0,1608.0,806.0,1300000.0,,False,,sophiie.xdt02,IG: sophiexdtprivate,,,,,,False,2024-01-11,"(array([0.23598868], dtype=float32), 'Double-Decker Electric Bus Catches Fire in London')",0.2359886765480041,Double-Decker Electric Bus Catches Fire in London
5,3.0,7334951174124080430,2024-02-13T00:17:22,7.0,US,esterbron,27900.0,314.0,413.0,226400.0,,False,,esterbron1,Esterbron,,,,,,False,2024-02-13,"(array([0.2773594], dtype=float32), 'Big Burden of Migrant Influx Strains Denver')",0.2773593962192535,Big Burden of Migrant Influx Strains Denver
6,4.0,7340746208555683078,2024-02-28T15:04:29,9.0,CA,"twins, Twins Of TikTok, Two Twins, Lululemon, Lululemon Creator, Parchis, lululemon shoes",26000.0,153.0,381.0,147500.0,Tag someone to do this dance with in the comments🩷🩷 #fyp #pardiss #takemetolax #twins #pariya #twinsoftiktok #lululemoncreator #lululemon ,False,,takemetolax,ocean helicopter rescue,,,,,,False,2024-02-28,"(array([0.2288285], dtype=float32), 'First, a Cancer Diagnosis. Then a Split-Second Decision About Fertility.')",0.2288285046815872,"First, a Cancer Diagnosis. Then a Split-Second Decision About Fertility."
7,5.0,7327002161089400106,2024-01-22T14:11:10,13.0,US,"stop recording me, stop attacking me, stop recording me prank, can you record me, can you record me real quick, Hound Dog, stop attacking me meme, stop recording me original, you ain't nothing but a hound dog, can you record this for me",3800000.0,79000.0,20400.0,25600000.0,"If Grama Sandy comes up to you in a store and asks you to record her, would you do it? 😏🤣 #fyp #sandybepsycho #recordme #strangers #viraltiktok #noshame #happymonday #february22nd ",False,,sandybepsycho,Grama Sandy,,,,,,False,2024-01-22,"(array([0.20189103], dtype=float32), 'Norman Jewison, 97, Dies; Directed ‘In the Heat of the Night’ and ‘Moonstruck’')",0.2018910348415374,"Norman Jewison, 97, Dies; Directed ‘In the Heat of the Night’ and ‘Moonstruck’"
8,6.0,7320741405444312362,2024-01-05T17:15:53,15.0,US,"chel cosplay, Chel The Road To El Dorado, Chel Edits, The Road To El Dorado, bell disney, chel the road to el dorado cosplay, Chel And Tulio Kiss, Chel from The Road to El Dorado, Disney Edits, Chel Michael Myer",428500.0,3998.0,3559.0,2600000.0,Im hearing everyone out || @Rat || ac mp3 server || dt @max || #theroadtoeldorado #chel #pixar #disney #cheledit #viral #edit #blowthisupp #dontletthisflop #quizkaii #foryourpage #fyp ,False,,quizkai,Wuizzy,,,,,,False,2024-01-05,"(array([0.25999555], dtype=float32), 'With ‘Good Grief,’ Daniel Levy Goes From Laughs to Tears')",0.259995549917221,"With ‘Good Grief,’ Daniel Levy Goes From Laughs to Tears"
9,7.0,7317385407660936453,2023-12-27T16:12:44,9.0,PE,,13200.0,85.0,125.0,110300.0,👀 #fyp #viraltiktok #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #trend #viralvideo #tiktok #viral #trending #parati ,False,,fabi23.0a,🍒𝔉𝔞𝔟𝔦🍒,,,,,,False,2023-12-27,"(array([0.21314636], dtype=float32), 'Blue Material')",0.2131463587284088,Blue Material
10,8.0,7311859359896620331,2023-12-12T18:48:48,16.0,US,"cfn cabbage, Laffy Taffy, cfn kasai, bigcabbage56, cfn cabbage travis hunter, using car window as mirror, mirror car, mirrors, Interior Mirrors, big laffy taffy",971800.0,10600.0,4268.0,5300000.0,Im just trying to see if my  face clean😂 #fyp #xybca #cfn #mammoo #thatoneperson ,False,,bigcabbage56,CFN Cabbage,,,,,,False,2023-12-12,"(array([0.20324288], dtype=float32), 'Branden Jacobs-Jenkins Revisits His ‘Illusion of Suffering’ on Broadway')",0.2032428830862045,Branden Jacobs-Jenkins Revisits His ‘Illusion of Suffering’ on Broadway
11,9.0,7312572200668794158,2023-12-14T16:55:02,15.0,US,"Zoe Ebarb Throwing It, zoe ebarb, Mulheres Dançando, zoe ebarb compilation, Zoe",129000.0,768.0,696.0,699900.0,Dc @emiliexpirez !!!!,False,,zoe.ebarb,Zoe🐸,,,,,,False,2023-12-14,"(array([0.26144278], dtype=float32), '‘Godard Cinema’ Review: A Convention-Defying Auteur')",0.2614427804946899,‘Godard Cinema’ Review: A Convention-Defying Auteur
